,question,label
637,what is the difference between a median and a mean ? ,what
638,what was the top box office movie in april 1998 ? ,what
639,what makes thunder ? ,what
640,what author did photographer yousuf karsh call `` the shiest man i ever met '' ? ,what
641,what plant is rum made from ? ,what
642,what country are godiva chocolates from ? ,what
643,what u.s. state records the least rainfall ? ,what
644,what texas city got its name from the spanish for `` yellow '' ? ,what
645,what are the chemicals used in glowsticks ? ,what
646,what country did the nile river originate in ? ,what
647,what color are tennis balls ? ,what
648,what barroom judge called himself the law west of the pecos ? ,what
649,what excuse did the nato people give for hitting the chinese embassy ? ,what
650,who was president of costa rica in 1994 ? ,who
651,what sports event is meyer wolfsheim supposed to have fixed in the great gatsby ? ,what
652,what country has the best defensive position in the board game diplomacy ? ,what
653,what two countries share the khyber pass ? ,what
654,who was chairman of the senate select committee that tried to get to the bottom of watergate ? ,who
655,what is the origin of the surname of braun ? ,what
656,what is australia day ? ,what
657,what mammal of north america is the world 's longest-lived for its size ? ,what
658,what was the chivington massacre ? ,what
659,in what city is the headquarters of sinn fein ? ,what
660,who is the voice of miss piggy ? ,who
661,what is the dialogue circle in cartoons called ? ,what
662,who replaced bert parks as the host of the miss america pageant ? ,who
663,what is the aim-54c phoenix ? ,what
664,when are sheep shorn ? ,when
665,what sport is chris jogis a top player of ? ,what
666,what 's the second-largest island in the world ? ,what
667,what is the definition of low island ? ,what
668,what century does captain video live in ? ,what
669,what types of water pollution are there ? ,what
670,what soft drink would provide me with the biggest intake of caffeine ? ,what
671,what 's the name of a golf course in myrtle beach ? ,what
672,what are some of the significant historical events of the 1990s ? ,what
673,what is the difference between neoclassical art and romanticism art ? ,what
674,who was the first person inducted into the u.s. swimming hall of fame ? ,who
675,what golfer has been called ohio fats and blobbo ? ,what
676,who murdered leno and rosemary labianca on august 1 ,who
677,what is the average cost for four years of medical school ? ,what
678,what does god create in the first sentence of the bible ? ,what
679,what is the current ticket fare from from cairo to barbados ? ,what
680,what does nn o `` mean when used as a prefix in irish surnames ? ,what
681,what is the state nickname of mississippi ? ,what
682,what 1966 boob tube bomb took astronauts back to prehistoric times ? ,what
683,what holidays are celebrated in ireland ? ,what
684,what are the greek numerals ? ,what
685,what 's the name of the temple that is located near the capital city of laos ? ,what
686,what is a fear of sleep ? ,what
687,what auto race was wilbur reed the first to win three times ? ,what
688,what are the most common breeding birds in the u.s. ? ,what
689,what is an example of an actual case of using the fourteenth amendment ? ,what
690,who was the charlie perfume woman ? ,who
691,who portrayed `` rosanne rosanna-dana '' on the television show `` saturday night live '' ? ,who
692,is there a cab available for airport? ,affirmation
693,is it raining outside ? ,affirmation
694,is there any pizza left ? ,affirmation
695,is there a truck parked infront of the house ? ,affirmation
696,what time does the flight leave ? ,when
697,what time does the train arrive ? ,when
698,what time do we go to the mall ? ,when
699,what time are we leaving ? ,when
700,what time does the president give his speech ? ,when
701,what time do you go to the school ? ,when
702,what time are you planning to leave ? ,when
703,what time are you thinking of going to the dentist ? ,when
704,what time is it right now ? ,when
705,who was gerald ford 's vice president ? ,who
706,who invented batteries ? ,who
707,who did sonny liston succeed as world heavyweight boxing champion ? ,who
708,who 's the twin brother of the greek goddess artemis ? ,who
709,who was america 's first public enemy no. 1 ? ,who
710,who is dear abby ? ,who
711,who was monet ? ,who
712,who was the famous door-to-door brush salesman ? ,who
713,who is always trying to get the rent from andy capp ? ,who
714,who did jackie kennedy commission to write the death of a president ? ,who
715,who sought to create the great society ? ,who
716,who said : `` soldiers win the battles and generals get the credit '' ? ,who
717,who is the current un secretary general ? ,who
718,who was lacan ? ,who
719,who was the secretary of war in the civil war during the battle of gettysburg ? ,who
720,who did bobby fischer beat to win the world chess championship ? ,who
721,who lives at 39 stone canyon way ? ,who
722,who played humpty dumpty in the 1933 film alice in wonderland ? ,who
723,who played the title role in i was a teenage werewolf ? ,who
724,who was the inventor of the stove ? ,who
725,who was the king who was forced to agree to the magna carta ? ,who
726,who was made the first honorary citizen of the u.s. ? ,who
727,who is known as `` the world 's oldest teenager '' ? ,who
728,who was with patricia hearst the night she was kidnaped ? ,who
729,who advised listeners to `` see the u.s.a. in your chevrolet '' ? ,who
730,who sang about desmond and molly jones ? ,who
731,who developed the first polio vaccine ? ,who
732,who made the first gas engine ? ,who
733,who sells viagra ? ,who
734,who was darius ? ,who
735,who did dita beard work for ? ,who
736,who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ? ,who
737,who is the best known villain of the 165 gunpowder plot ? ,who
738,who is nicolo paganini ? ,who
739,who portrayed dracula in hammer studios ' films ? ,who
740,who was jean nicolet ? ,who
741,who was the original humpty dumpty ? ,who
742,who invented the vacuum cleaner ? ,who
743,who is the voyager project manager ? ,who
744,who replies `` i know '' to princess leia 's confession `` i love you '' in the empire strikes back ? ,who
745,who won the 1967 academy award for best actor ? ,who
746,who was the first taiwanese president ? ,who
747,who is luke skywalker 's father ? ,who
748,who was jane goodall ? ,who
749,who is the current prime minister and president of russia ? ,who
750,who established a viking colony in greenland about 985 ? ,who
751,who shot and killed himself while painting wheatfield with crows ? ,who
752,who was the architect of central park ? ,who
753,who were the yankee 's frequent enemies ? ,who
754,who wrote sons and lovers ? ,who
755,who was the star of leave it to beaver ? ,who
756,who did richard nixon tender his resignation to ? ,who
757,who was thucydides ? ,who
758,who took over as conductor of the boston pops after arthur fiedler 's long reign ? ,who
759,who is the fastest guitarist ? ,who
760,who betrayed norway to the nazis ? ,who
761,who took the toys donated for the doodyville orphans ' fund and kept them for himself ? ,who
762,who were the picts ? ,who
763,who is stationed at camp swampy in the comic strips ? ,who
764,who wrote the look of love after viewing ursula andress ? ,who
765,who claims to have the greatest show on earth ? ,who
766,who invented the paper clip ? ,who
767,who is the composer of `` canon in d major '' ? ,who
768,who was the author of the novel `` far from the madding crowd '' ? ,who
769,who was camp david named for ? ,who
770,who portrayed `` the man without a face '' in the movie of the same name ? ,who
771,who won the first world series ? ,who
772,who is samuel pickering ? ,who
773,who was credited with saying : `` i never met a man i did n't like '' ? ,who
774,who created big ben ? ,who
775,who played the title role in my favorite martian ? ,who
776,who invented the game scrabble ? ,who
777,who is considered the first lady of the american stage ? ,who
778,who penned : `` neither a borrower nor a lender be '' ? ,who
779,who headed hitler 's infamous gestapo ? ,who
780,who made the musical plea be true to your school ? ,who
781,who made stonehenge ? ,who
782,who 's the founder and editor of the national review ? ,who
783,who was the first governor of west virginia ? ,who
784,who was the first woman to fly solo across the atlantic ? ,who
785,who started the dominos pizza chain ? ,who
786,who portrayed vincent van gogh in lust for life ? ,who
787,who was known as the time master in comic books ? ,who
788,who is the father of the computer ? ,who
789,who said : `` old soldiers never die ; they just fade away '' ? ,who
790,who 's the only man to have won the olympic decathlon twice ? ,who
791,who was the second man to walk on the moon ? ,who
792,who is the pope ? ,who
793,who is imam hussain ben ali whom shia people believe in ? ,who
794,who was william henry harrison ? ,who
795,who was the first black performer to have his own network tv show ? ,who
796,who directed the wild bunch ? ,who
797,who runs andy capp 's favorite pub ? ,who
798,who invented the game bowling ? ,who
799,who is the creator of `` the muppets '' ? ,who
800,who asked you to do the loco-motion with her in 1962 ? ,who
801,who made the first surfboard ? ,who
802,who is the greek god of the sea ? ,who
803,who was the first woman governor of wyoming ? ,who
804,who was charles lindbergh 's wife ? ,who
805,who sings angel eyes from the 80 's ? ,who
806,who wrote ` hamlet ' ? ,who
807,who was the russian ambassador to hungary during the 1956 uprising ? ,who
808,who holds the nfl record for most touchdowns in a season ? ,who
809,who is shirley maclaine ? ,who
810,who wrote ` the pines of rome ' ? ,who
811,who leads the star ship enterprise in star trek ? ,who
812,who won world war ii ? ,who
813,who was garrett morgan married to ? ,who
814,who is ishmael in moby dick ? ,who
815,who was the conservationist who served as spokesperson for post grape nuts ? ,who
816,who was whitcomb judson ? ,who
817,who shoplifts ? ,who
818,who said : `` the victor will never be asked if he told the truth '' ? ,who
819,who is langston hughes ? ,who
820,who seized power from milton obote in 1971 ? ,who
821,who is the prophet of medina ? ,who
822,who is the queen of holland ? ,who
823,who was secretary of state during the nixon administration ? ,who
824,who is johnny carson ? ,who
825,who painted `` soft self-portrait with grilled bacon '' ? ,who
826,who killed caesar ? ,who
827,who is count cinzano ? ,who
828,who 's won the most oscars for costume design ? ,who
829,who wrote the red badge of courage ? ,who
830,who invented the road traffic cone ? ,who
831,who won the battle of gettysburg ? ,who
832,who is stephen hawking ? ,who
833,what actor came to dinner in guess who 's coming to dinner ? ,who
834,who was the first actress to appear on a postage stamp ? ,who
835,who was the first black woman to star in the folies bergeres ? ,who
836,who asked the musical question : `` have you ever been to electric lady land ? ,who
837,who wrote : `` poems are made by fools like me but only god can make a tree '' ? ,who
838,who invented the wonderbra ? ,who
839,who owns the st. louis rams ? ,who
840,who made the most appearances in the center square on hollywood squares ? ,who
841,who said `` the only thing we have to fear is fear itself '' ? ,who
842,who is the sexiest women in the world ? ,who
843,who was the supreme god of germanic religion ? ,who
844,who 's played the most games for the new york yankees ? ,who
845,who won the superbowl in ? ,who
846,who directed citizen kane ? ,who
847,who said : `` what contemptible scoundrel stole the cork from my lunch ? '' ,who
848,who was the author of the famous fairy tale `` snow white and seven dwarfs '' ? ,who
849,who is behind the name of the harvey wallbanger drink ? ,who
850,who is the premier of china ? ,who
851,who was the president of vichy france ? ,who
852,who first broke the sound barrier ? ,who
853,who was scrooge 's dead partner in dickens 's a christmas carol ? ,who
854,who recorded the 1957 hit tammy ? ,who
855,who is mia farrow 's mother ? ,who
856,who was the only president to serve two nonconsecutive terms ? ,who
857,who reports the weather on the `` good morning america '' television show ? ,who
858,who are the nomadic hunting and gathering tribe of the kalahari desert in africa ? ,who
859,who won a pulitzer prize for his novel the caine mutiny ? ,who
860,who portrayed sherlock holmes in 14 films between 1939 and 1946 ? ,who
861,who claimed to be the world 's most perfectly-developed man ? ,who
862,who portrayed carl bernstein in all the president 's men ? ,who
863,who was tiny tim 's father ? ,who
864,who was bonnie blue butler 's father ? ,who
865,who is the antichrist ? ,who
866,who was the lawyer who represented randy steven craft ? ,who
867,who wrote the farmer 's almanac ? ,who
868,who was the 15th century fire-and-brimstone monk who gained control of florence but ended burnt at the stake ? ,who
869,who was quetzalcoatl ? ,who
870,who is the prime minister of japan ? ,who
871,who is the president of the spanish government ? ,who
872,who holds the career record for the most major league home runs ? ,who
873,who invented the stethoscope ? ,who
874,who retired with 755 home runs to his credit ? ,who
875,who developed potlatch ? ,who
876,who is the actress bette davis once said she wished she looked like ? ,who
877,when did iraqi troops invade kuwait ? ,when
878,when was the slinky invented ? ,when
879,when was dick clark born ? ,when
880,when did the `` star-spangled banner '' become the national anthem ? ,when
881,when did israel begin turning the gaza strip and jericho over to the plo ? ,when
882,when were the olympic games in which nadia comaneci became popular played ? ,when
883,when did fraze get his first patent for the pull-tab can ? ,when
884,when was the triangle shirtwaist fire ? ,when
885,when were fish first believed to be found on earth ? ,when
886,when is president nixon 's birthday ? ,when
887,when will the millennium officially begin ? ,when
888,when was cnn 's first broadcast ? ,when
889,when were camcorders introduced in malaysia ? ,when
890,when was queen victoria born ? ,when
891,when was yemen reunified ? ,when
892,when did humans first begin to write history seriously ? ,when
893,when was the first flush toilet invented ? ,when
894,when will jean aeul publish her next book ? ,when
895,when was the de beers company founded ? ,when
896,when did princess diana and prince charles get married ? ,when
897,when was the first barbie produced ? ,when
898,when did the jurassic period end ? ,when
899,when was the bill of rights ratified ? ,when
900,when was calypso music invented ? ,when
901,when did hitler come to power in germany ? ,when
902,when did gothic art and architecture flourish ? ,when
903,when was the internal combustion engine developed ? ,when
904,when do you plant winter wheat ? ,when
905,when did nostradamus believe world war iii would begin ? ,when
906,when was london 's docklands light railway constructed ? ,when
907,when do mormons believe christ was born ? ,when
908,when did theo rousseau paint the `` forest of fontaine '' ? ,when
909,when is the thai new year ? ,when
910,when was the g7 group of nations formed ? ,when
911,when did they canonize the bible ? ,when
912,when did the carolingian period begin ? ,when
913,when did spain and korea start ambassadorial relations ? ,when
914,when did nixon die ? ,when
915,when is a woman most fertile ? ,when
916,when was the nfl established ? ,when
917,when was richard nixon born ? ,when
918,when is the sun closest to the earth ? ,when
919,when did amtrak begin operations ? ,when
920,when was john d. rockefeller born ? ,when
921,when was the congress of vienna ? ,when
922,when was franklin d. roosevelt stricken with polio ? ,when
923,what singer 's theme song was when the moon comes over the mountain ? ,when
924,when was the brandenburg gate in berlin built ? ,when
925,when did mount st. helens last erupt ? ,when
926,when was child labor abolished ? ,when
927,when was the hoover dam constructed ? ,when
928,when was the first practical commercial typewriter marketed ? ,when
929,when did the chernobyl nuclear accident occur ? ,when
930,when was general manuel noriega ousted as the leader of panama and turned over to u.s. authorities ? ,when
931,when did thatcher become prime minister ? ,when
932,when was florida admitted into the union ? ,when
933,who portrayed the cowardly lion in the wizard of oz ? ,who
934,who was the first king of england ? ,who
935,who killed kurt cobain ? ,who
936,who created the monster in mary shelley 's novel frankenstein ? ,who
937,who was the first man to return to space ? ,who
938,who gave abbie hoffman his first dose of lsd ? ,who
939,who shot billy the kid ? ,who
940,who played sally rogers on the dick van dyke show ? ,who
941,who is the mathematician that won the noble prize for literature in 1950 ? ,who
942,who 's baby was sweet pea on the popeye cartoon ? ,who
943,who was shakespeare 's moorish general ? ,who
944,who taught matt murdock to use his extraordinary abilities in marvel comics ? ,who
945,who famously rode to warn the people of massachusetts that the british were coming ? ,who
946,who commanded the french forces at the battle of orleans ? ,who
947,who led the opposition when konrad adenauer was chancellor in germany ? ,who
948,who turned all he touched to gold ? ,who
949,who plays shortstop for charlie brown 's baseball team ? ,who
950,who was the most famous food editor of the new york times ? ,who
951,who was the last u.s. president to reinstate selective service registration ? ,who
952,who lived on the shores of the gitchee gumee river ? ,who
953,who is section manager for guidance and control systems at jpl ? ,who
954,who should i call to get a tour of the new york stock exchange ? ,who
955,who portrayed w.c. fields in the film w.c. fields and me ? ,who
956,who built the first successful stern wheel steamboat ? ,who
957,who was hitler 's minister of propaganda ? ,who
958,who was the first doctor to successfully transplant a liver ? ,who
959,who was the lawyer for randy steven craft ? ,who
960,who is reputed to be the greatest maker of violins ? ,who
961,who sued the dannon yougurt company for using a character named ron raider for promotion ? ,who
962,who was the first jockey to ride two triple crown winners ? ,who
963,who wrote brave new world ? ,who
964,who wrote unsafe at any speed ? ,who
965,who were leaders of the byzantine empire ? ,who
966,who was the first president to appoint a woman to head a cabinet ? ,who
967,who built the first pyramid ? ,who
968,who is the nebbish that is marvel 's official mascot ? ,who
969,who sang the song `` hooked on a feeling '' in the dancing baby episode of `` ally mcbeal '' ? ,who
970,who was damocles ? ,who
971,who was the first american citizen awarded the albert medal of the society of arts ? ,who
972,who founded the unification church ? ,who
973,who invented the lawnmower ? ,who
974,who shared a new york city apartment with roger maris the year he hit 61 home runs ? ,who
975,who is the director of intergovernmental affairs for the san diego county ? ,who
976,who directed the first woody woodpecker cartoon ? ,who
977,who killed lee harvey oswald ? ,who
978,who was red grange ? ,who
979,who invented the fax machine ? ,who
980,who wrote the poem that starts `` i love your lips when they 're wet with wine and red with a warm desire '' ? ,who
981,who was santos-dumont ? ,who
982,who is rocky 's and bullwinkle 's ever-lost friend ? ,who
983,who is robin williams ? ,who
984,who thought he 'd never see a poem lovely as a tree ? ,who
985,who created `` the muppets '' ? ,who
986,who else was considered for the role of luke skywalker when george lucas was casting for star wars ? ,who
987,who was the king who signed the magna carta ? ,who
988,who is the leader of india ? ,who
989,who is the prophet that is most connected to the dead sea ? ,who
990,who wrote `` the pit and the pendulum '' ? ,who
991,who is the incredible hulk in reality ? ,who
992,who are the presidents of mexico and indonesia ? ,who
993,who played al jolson in the jolson story ? ,who
994,who played emperor palpatine in star wars ? ,who
995,who is king in alley oop 's home of moo ? ,who
996,who invented the stock ticker in 1870 ? ,who
997,who wrote the bible ? ,who
998,who is henry butler ? ,who
999,who made the first airplane ? ,who
1000,who was the first black to be head coach of a major league pro sports team ? ,who
1001,who is peter weir ? ,who
1002,who held the endurance record for women pilots in 1929 ? ,who
1003,who are woody woodpecker 's niece and nephew ? ,who
1004,who created maudie frickett ? ,who
1005,who was the first english circumnavigator of the globe ? ,who
1006,who made the largest cocaine seizure in ventura county history ? ,who
1007,who liberated 19th century sicily and naples ? ,who
1008,who appointed the chair of the federal reserve ? ,who
1009,who is samuel f. pickering ? ,who
1010,who founded the modern theory of probability ? ,who
1011,who 's the king of swing ? ,who
1012,who won the 1968 california democratic primary ? ,who
1013,who spoke the only word in mel brooks 's silent movie ? ,who
1014,who was the first russian astronaut to walk in space ? ,who
1015,who wrote ` dubliners ' ? ,who
1016,who is malaysia 's 43rd prime minister ? ,who
1017,who founded the first aerodynamics laboratory in 1912 ? ,who
1018,who said `` give me liberty or give me death '' ? ,who
1019,who invented the pull-tab opener on cans ? ,who
1020,who declared : `` i think i 'll go out and milk the elk '' ? ,who
1021,who was the actor who played sam in the movie casablanca ? ,who
1022,who makes chicken `` finger lickin '' good ? ,who
1023,who accompanied space ghost on his missions ? ,who
1024,who was israel 's first prime minister ? ,who
1025,who is desmond tutu ? ,who
1026,who was the first person to study the stars ? ,who
1027,who did doris day mean when she said : `` i call him ernie because he 's certainly no rock '' ? ,who
1028,who is the owner of cnn ? ,who
1029,who markets spaghetti-o 's ? ,who
1030,who co-starred with julie andrews in mary poppins ? ,who
1031,who was ezra taft benson ? ,who
1032,who is pia zadora 's millionaire husband and mentor ? ,who
1033,who was the first american world chess champion ? ,who
1034,who was the last woman executed in england ? ,who
1035,who is prince naseem hamed ? ,who
1036,who made the first airplane that could fly ? ,who
1037,who was international olympic committee chairman at the 1936 summer games ? ,who
1038,does this come with power cord and dishwasher hook up ? ,affirmation
1039,will this one work to replace the badger 1 1/3 hp ? ,affirmation
1040,is there a connection for the dish washer ? ,affirmation
1041,can these be used for gas stove burner ? ,affirmation
1042,is this for electric stoves ? ,affirmation
1043,can you bake corn bread on this without it burnding. ? ,affirmation
1044,can this be used on gas stove when making polenta which needs low heat. ? ,affirmation
1045,do these work on induction cooktops ? ,affirmation
1046,will this keep pour-over coffee carafe contents warmed atop a gas range flame ? ,affirmation
1047,can this be used on gas stove when making polenta which needs low heat. ? ,affirmation
1048,do these work on induction cooktops ? ,affirmation
1049,can more than one water source be tested ? ,affirmation
1050,does it have a colour indicator ? ,affirmation
1051,is there an expiration date on any of the tests ? ,affirmation
1052,does it test coliform/ e. coli ?? ,affirmation
1053,does this test forlead ? ,affirmation
1054,could i pay 1 shipping price if you bundle it ? ,affirmation
1055,is this model for the #1855 holmes humidifier ? ,affirmation
1056,does it work with kenmore humidifier? ,affirmation
1057,do i need to tear off the black outside before i put the new filter into the machine ? ,affirmation
1058,does this filter fit the holmes hm5100 ? ,affirmation
1059,can this filter remove all mold spores ? ,affirmation
1060,is this the same bulb as the euv-13b ? ,affirmation
1061,does it fit vicks v3900 humidifier ? ,affirmation
1062,will these range replacement knobs fit a tappan electric stove ? ,affirmation
1063,do you have replacement knobs for hotpoint stove ? ,affirmation
1064,will this fit thermador (oem: bosch) older cooktop? ,affirmation
1065,does it have screens in place where the vents are to prevent lint from blowing out of the vent holes ? ,affirmation
1066,can it be used for a gas drier ? ,affirmation
1067,will the ltf lint dryer kit work on a gas dryer ? ,affirmation
1068,does it have a backlight ? ,affirmation
1069,is it possible to calibrate ? ,affirmation
1070,is it accurate ? ,affirmation
1071,is there a lag time after you take it out of the box before it starts to work ? ,affirmation
1072,could this be used outside in a enclosed patio and work accurately throughout the seasons ? ,affirmation
1073,does this monitor read humidity levels below 16% ? ,affirmation
1074,can it be wall mounted ? ,affirmation
1075,has anyone used this on a brick driveway ? ,affirmation
1076,does this pick up dust without blowing it out the bag ? ,affirmation
1077,will this work on my astro turf sun deck for picking up bugs and leaves ? ,affirmation
1078,will this work on astro turf to pick up small bugs and leaves ? ,affirmation
1079,would this pick up pine needles on a lawn ? ,affirmation
1080,does this fit the model 89q ? ,affirmation
1081,does this filter work on all style 8 ? ,affirmation
1082,does this fit ed11 600 device ? ,affirmation
1083,are there six filters for the price shown ? ,affirmation
1084,does it fit pf sw2mdca ss ? ,affirmation
1085,will it work with gfe29hmdaes? ,affirmation
1086,is this possible ? ,affirmation
1087,can this filter be used under a sink ? ,affirmation
1088,is this antimicrobial ? ,affirmation
1089,are these lead free ? ,affirmation
1090,"is this considered a ""fill hose"" ? ",affirmation
1091,can it be settled on a bathtub ? ,affirmation
1092,can i install on wall ? ,affirmation
1093,is this easier to pull out than the plastic stopper ? ,affirmation
1094,does this freezer automatically defrost ? ,affirmation
1095,does this come with the case ? ,affirmation
1096,does this have a cello tuner setting ? ,affirmation
1097,is this appliance quiet enough to keep in the house as a spare? ,affirmation
1098,does this protect from chemicals ? ,affirmation
1099,can show temperature in celsius degrees ? ,affirmation
1100,do they come in different sizes ? ,affirmation
1101,can this model 1 cubic handle a king size sheet set ? ,affirmation
1102,can it be installed with a copper sink ? ,affirmation
1103,does it accommodate a dishwasher ? ,affirmation
1104,can these be recycled some way ? ,affirmation
1105,which water filter cap replacement (white color) should i use for this filter ? ,affirmation
1106,does this model have the damper included for the seven inch duct ? ,affirmation
1107,can an extended warranty be purchased for this product ? ,affirmation
1108,is the freezer frost free ? ,affirmation
1109,could someone give me the dimensions ? ,affirmation
1110,are these drip pans dishwasher safe ? ,affirmation
1111,do these cooktops require 220 outlet ? ,affirmation
1112,will this work to connect a wgd9200sq0 to a wfw9150ww00 washer ? ,affirmation
1113,does it work for whirlpool duet ht - washer/dryer from 2005 ? ,affirmation
1114,does the old stack kit fit on the new washer and old dryer ? ,affirmation
1115,is this downdraft ventilation ? ,affirmation
1116,does the stainless steel trim get scratched by the cookware ? ,affirmation
1117,would this work with the whirlpool duet sports front load washer and dryers ? ,affirmation
1118,is it made in usa ? ,affirmation
1119,is the cooking grate removable ? ,affirmation
1120,can the cooking grate be removed from the ring ? ,affirmation
1121,are the last two numbers the gal ? ,affirmation
1122,can you verify the dimensions for me ? ,affirmation
1123,can this tank be used for black water ? ,affirmation
1124,can you use on a airplane ? ,affirmation
1125,will it fit a 10 ft. ceiling? ,affirmation
1126,are the lights dimmable? ,affirmation
1127,do you ship item to pr? ,affirmation
1128,can i just throw them in trash ? ,affirmation
1129,are they made in the usa ? ,affirmation
1130,do you sell an extension kit available for 10' ceilings ? ,affirmation
1131,is it loud ? ,affirmation
1132,can it be cut to fit ? ,affirmation
1133,can it be removed ? ,affirmation
1134,does this hose have one ? ,affirmation
1135,can i get it in india ? ,affirmation
1136,would this work on a 2008 ford edge with a naked roof ? ,affirmation
1137,define the pheonix club ? ,unknown
1138,give a reason for american indians oftentimes dropping out of school . ? ,unknown
1139,how can i find a list of celebrities ' real names ? ,how
1140,how can i find a phone number of someone if i only know their email address ? ,how
1141,how can i find out what year a beanie baby was introduced ? ,how
1142,how can i find out which cities have cable-modem access ? ,how
1143,how can i get some free technical information on electric vehicle ? ,how
1144,how can i register my website in yahoo for free ? ,how
1145,how can i transport files from one computer to another ? ,how
1146,how can you contact play producers and promoters on-line ? ,how
1147,how can your school march in the macy 's thanksgiving parade ? ,how
1148,how did jayne mansfield die ? ,how
1149,how did serfdom develop in and then leave russia ? ,how
1150,how did shipyard inspector james j. kilroy designate equipment as being satisfactory ? ,how
1151,how did the tradition of best man start ? ,how
1152,how do chickens have baby chicks ? ,how
1153,how do doctors diagnose bone cancer ? ,how
1154,how do fuel injectors work ? ,how
1155,how do i find the balance of my social security account ? ,how
1156,how do i get another city 's newspaper ? ,how
1157,how do i log on to home page at headquarters u.s. european command ? ,how
1158,how do i make fuel bricks from recycled newspaper ? ,how
1159,how do i start a bank ? ,how
1160,how do i start a web based business ? ,how
1161,how do i stop background noise in a car stereo ? ,how
1162,how do i tie dye clothes ? ,how
1163,how do ouija boards work ? ,how
1164,how do they find or choose witnesses to an execution ? ,how
1165,how do you ask a total stranger out on a date ? ,how
1166,how do you correctly say the word ` qigong ' ? ,how
1167,how do you determine heating requirements for your home ? ,how
1168,how do you find oxidation numbers ? ,how
1169,how do you get a broken cork out of a bottle ? ,how
1170,how do you get to the top of the eiffel tower ? ,how
1171,how do you look up criminal records on the internet ? ,how
1172,how do you make a paintball ? ,how
1173,how do you match a name to a social security number ? ,how
1174,how do you say 2 in latin ? ,how
1175,how do you say `` fresh '' in spanish ? ,how
1176,how do you say i love you in spanish ? ,how
1177,how do you solve `` rubik 's cube '' ? ,how
1178,how does a copier work ? ,how
1179,how does a rainbow form ? ,how
1180,how far can a man travel in outer space ? ,how
1181,how far do you have to run if you hit a home run ? ,how
1182,how fast does the fastest car go ? ,how
1183,how fast is light ? ,how
1184,how is a hydrogen bomb different from a nuclear bomb ? ,how
1185,how is answers.com different from knowpost.com ? ,how
1186,how is easter sunday 's date determined ? ,how
1187,how is energy created ? ,how
1188,how is it correct to say ` qigong ' ? ,how
1189,how is silk screening done ? ,how
1190,how is the election of a new pope announced to the world ? ,how
1191,how long does it take for spider-man 's web to evaporate ? ,how
1192,how long does it take for your blood to make one complete trip through the body ? ,how
1193,how long is the coney island boardwalk ? ,how
1194,how long should a person wash their hands before they are clean ? ,how
1195,how many americans fought for the british in the american revolution ? ,how
1196,how many astronauts manned each project mercury flight ? ,how
1197,how many beatles ' records went #1 ? ,how
1198,how many bends are there in a standard paper clip ? ,how
1199,how many boys play the game in winslow homer 's 1872 painting snap the whip ? ,how
1200,how many calories are there in a big mac ? ,how
1201,how many cds has garth brooks sold ? ,how
1202,how many colleges are in wyoming ? ,how
1203,how many colonies were involved in the american revolution ? ,how
1204,how many community chest cards are there in monopoly ? ,how
1205,how many degrees cooler is the inside of a cucumber than the air outside ? ,how
1206,how many dots make up the symbol for `` because '' ? ,how
1207,how many double-word-score spaces are there on a scrabble crossword game board ? ,how
1208,how many equal angles are there in an isosceles triangle ? ,how
1209,how many feet are there in a fathom ? ,how
1210,how many fingers are used to draw a bow ? ,how
1211,how many gutenberg bibles are there ? ,how
1212,how many hands does bjorn borg use when hitting his forehand ? ,how
1213,how many hearts does an octopus have ? ,how
1214,how many holes are there in a tenpin bowling ball ? ,how
1215,how many home runs did lou gehrig have during his career ? ,how
1216,how many hostages were killed in the entebbe raid ? ,how
1217,how many inches over six feet is the venus de milo ? ,how
1218,how many innings are there in a regulation softball game ? ,how
1219,how many jews were executed in concentration camps during wwii ? ,how
1220,how many layers of yellow paint is a faber mongol pencil lucky enough to be sprayed with ? ,how
1221,how many miles is it to ohio from north carolina ? ,how
1222,how many months does a normal human pregnancy last ? ,how
1223,how many months does it take the moon to revolve around the earth ? ,how
1224,how many oceans are there and name them ? ,how
1225,how many pairs of legs does a lobster have ? ,how
1226,how many people are there in the world ? ,how
1227,how many people did randy craft kill ? ,how
1228,how many people died on d-day ? ,how
1229,how many people in the world speak french ? ,how
1230,how many points make up a perfect fivepin bowling score ? ,how
1231,how many quarters equal a pound ? ,how
1232,how many referees work a soccer game ? ,how
1233,how many revolutions does a standard lp make in three minutes ? ,how
1234,how many shots can a stock m16 hold ? ,how
1235,how many sonnets did shakespeare write ? ,how
1236,how many south american countries have the letter z in their names ? ,how
1237,how many species of sharks are there ? ,how
1238,how many species of the great white shark are there ? ,how
1239,how many sperm cells are in an average ejaculation ? ,how
1240,how many students attend the university of massachusetts ? ,how
1241,how many types of dogs ' tails are there - three ? ,how
1242,how many vietnamese were there in the soviet union ? ,how
1243,how many villi are found in the small intestine ? ,how
1244,how many wives did brigham young have ? ,how
1245,how many years ago did the ship titanic sink ? ,how
1246,how many years did it take james joyce to write ulysses ? ,how
1247,how many years do fossils take to form ? ,how
1248,how many years is johnnie walker black label aged ? ,how
1249,how much does a new railroad coal car cost ? ,how
1250,how much money are dumbo 's ears insured for ? ,how
1251,how much money does a back injury lawsuit get ? ,how
1252,how much snow equals an inch of rain ? ,how
1253,how much was the minimum wage in 1991 ? ,how
