,Predicted,question
576,what,other Where is Procter & Gamble based in the U.S. ?
577,what,gr What army was founded by William Booth and his wife Catherine ?
578,what,substance What does ribavirin consist of ?
579,what,food Name the soft drink that is `` number one in the sun . ''
580,what,other What is the web address of the list of e-mail addresses of members of the House of Representatives ?
581,what,ind What was her real name ?
582,what,reason Why are the ears your center of balance ?
583,who,ind Who invented the toothbrush ?
584,what,cremat What was the name of that popular song the Creeps sang ?
585,who,other Where is the Abominable Snowman said to wander ?
586,what,dismed What is a fear of being alone ?
587,how,count How many dots make up the symbol for `` because '' ?
588,what,food What do you get by adding Lactobacillus bulgaricus to milk ?
589,what,"exp When reading classified ads , what does EENTY "
590,how,count How many hearts does an octopus have ?
591,what,plant What plant has the largest seed ?
592,what,country What was the only country you were allowed to drive into Israel from in 1979 ?
593,what,other What 's approaching when a cyclist shouts 
594,who,"ind What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?"
595,what,sport What kind of sport is often associated with hooligans ?
596,what,ind What video game hero do some of his fans call Chomper ?
597,how,count How many holes are there in a tenpin bowling ball ?
598,what,word What is the longest word in the English language ?
599,what,other In What city or state do the most gay men live in ?
600,who,"ind What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?"
601,what,animal What is `` the bear of beers '' ?
602,who,other Name the operating system that runs on IBM-compatible machines .
603,what,def What does the name `` Justin '' mean ?
604,what,perc What percentage of the body is muscle ?
605,what,color What color of dry wine should be served with veal roasts and chops ?
606,what,substance What is a golf ball made of ?
607,what,def What is the Amish religion ?
608,what,money What does an average daycare provider get paid in New England ?
609,what,gr What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?
610,who,ind Who played the Ringo Kid in the 1939 film Stagecoach ?
611,what,ind Who died 1 feet from where John F. Kennedy did ?
612,what,def What is the `` coppertop '' battery ?
613,what,symbol What sign is The Water Carrier the zodiacal symbol for ?
614,what,animal What animals do you find in the stock market ?
615,what,def What is color ?
616,what,date When is the site www.questions.com going to open ?
617,what,cremat What did Shostakovich write for Rostropovich ?
618,what,ind What first name was Nipsy Russell given at birth ?
619,how,manner How can I get some free technical information on Electric Vehicle ?
620,who,ind Who is the youngest of the Beatles ?
621,how,manner How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?
622,what,def What is a Jellicle Cat ?
623,what,other Where can I find the best free evidence for debate about Russia ?
624,what,other What is Bill Gates of Microsoft E-mail address ?
625,what,substance What is the second hardest substance ?
626,what,reason Why did several San Diego schools stop serving apples to students ?
627,what,city What Russian city boasts the Hermitage Museum ?
628,what,date When is Bastille Day ?
629,what,reason What makes a tornado turn ?
630,how,count How many shots can a stock M16 hold ?
631,what,color What two colors are you blind to if you suffer from protanopia ?
632,who,reason Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?
633,who,desc Who is Coronado ?
634,what,cremat What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?
635,what,def What is artificial intelligence ?
636,what,food What do flatfish eat ?
637,who,ind Who was the first Holy Roman Emperor ?
638,what,other What can I use to remove the stubborn gummed labels from some diskettes ?
639,what,date What day of the week sees the most fatal car accidents ?
640,what,"desc What is the origin of the word , magic ?"
641,what,sport What sport do you shag flies in ?
642,what,def What is white chocolate ?
643,what,other Where is Trinidad ?
644,what,gr Name the organization that is presided by a Security Council .
645,what,"ind Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?"
646,what,food What kind of wine is Spumante ?
647,what,ind Who portrayed portly criminologist Carl Hyatt on Checkmate ?
648,how,termeq How do you say I love you in Spanish ?
649,what,def What does the name Gina mean ?
650,what,product What is the most advanced handheld calculator in the world ?
651,how,speed How fast is light ?
652,what,termeq What is the belt of low pressure around the equator called ?
653,what,def What are shooting stars ?
654,what,gr Whom did the Chicago Bulls beat in the 1993 championship ?
655,when,date When was the first American encyclopedia published ?
656,what,other What 's the tallest building in New York City ?
657,how,manner How is Easter Sunday 's date determined ?
658,what,desc What is the Motto for the State of Maryland ?
659,who,desc Who is Desmond Tutu ?
660,what,other Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
661,what,animal Name a tiger that is extinct .
662,how,count How many quarters equal a pound ?
663,what,cremat What kind of books does Fodor 's publish ?
664,what,"ind What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?"
665,what,ord What chapter of the Bible has the most verses ?
666,who,ind Who is the worst US President ever ?
667,what,ind What Asian leader was known as The Little Brown Saint ?
668,what,abb What is the abbreviated expression for the National Bureau of Investigation ?
669,how,speed How fast does the fastest car go ?
670,what,mount What is the highest mountain in the world ?
671,what,other What arch can you see from the Place de la Concorde ?
672,who,ind Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?
673,how,period How long should a person wash their hands before they are clean ?
674,what,other Which way do you turn your Bic to increase the flame - clockwise or counterclockwise ?
675,what,country Which is the wealthiest country in the world ?
676,what,manner How can I find a phone number of someone if I only know their email address ?
677,what,manner How can you contact play producers and promoters on-line ?
678,who,ind Who is the monarch of the United Kingdom ?
679,what,dismed What is a fear of passing high objects ?
680,what,desc What do players try to do when the music stops in a game of musical chairs ?
681,what,ind What are the top ten most common girl names in the US ?
682,what,reason Why is black the color of mourning in the West ?
683,what,other What is the rarest coin ?
684,what,cremat What Judith Rossner novel was made into a film starring Diane Keaton ?
685,what,country Which country is Australia 's largest export market ?
686,what,other Where is the Kentucky Horse Park located ?
687,what,dismed What is a fear of parasites ?
688,what,sport In what Olympic Games did Nadia Comaneci become popular ?
689,who,ind Who does data collection in tourism ?
690,what,ind What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?
691,what,state What is the leading pecan and peanut growing state ?
692,what,desc What does a nihilist believe in ?
693,what,desc What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?
694,what,sport In what sport are these following numbers relevant 
695,who,ind Who were the four famous founders of United Artists ?
696,what,cremat What 2 statues did France give to other countries ?
697,what,def What are amphibians ?
698,how,count How many sperm cells are in an average ejaculation ?
699,what,product Name the disposable razor that `` costs about 19 cents . ''
700,who,dist How far do you have to run if you hit a home run ?
701,who,ind Who was the only U.S. President to wear a Nazi uniform ?
702,what,gr Woodrow Wilson served as president of what university ?
703,where,other Where are the tropical rain forest distributions ?
704,what,ind What 's the nickname of oddsmaker Jimmy Snyder ?
705,what,dismed What is the fear of being loved ?
706,who,other What was the number of people that Randy Steven Craft was convicted of killing ?
707,what,title What was Queen Victoria 's title regarding India ?
708,what,manner How is a hydrogen bomb different from a nuclear bomb ?
709,how,dist How far can a man travel in outer space ?
710,what,other Where was Lincoln assassinated ?
711,what,food What type of food makes you fat ?
712,what,dismed What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?
713,what,count What was the U.S. highway death toll in 1969 ?
714,what,"animal What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?"
715,what,cremat What are the shortest and the longest songs ever produced ?
716,what,letter What letter is to the right of K on a typewriter keyboard ?
717,what,"desc What is the origin and the meaning of the name , `` Hajo ? ''"
718,what,word What is the plural of gulf ?
719,what,ind Whose autobiography is titled Yes I Can ?
720,what,date What year did the United States pass the Copyright law ?
721,what,perc What percentage of Americans own their homes ?
722,what,date What 's the first day of the week ?
723,what,city What city was President William McKinley shot in ?
724,what,city What city has the world 's longest subway system ?
725,what,"ind Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?"
726,what,def What is Bombay duck ?
727,how,count How many degrees cooler is the inside of a cucumber than the air outside ?
728,what,ind What double talking `` professor '' holds a doctorate in Nothing ?
729,what,city What are the five most expensive cities in the world ?
730,what,ind What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?
731,how,count How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?
732,what,def What is a virtual IP address ?
733,what,ind What was the name of the cook on Rawhide ?
734,what,other What county is Chicago in ?
735,what,dist What is the wingspan of a condor ?
736,what,desc What facial feature typically contains about 55 hairs ?
737,who,"ind Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover , and also granted 10-?? of all profits of his voyage ."
738,how,manner How can I transport files from one computer to another ?
739,what,termeq What 's the literary term for a play on words ?
740,what,color What color were their horses ?
741,what,money What does an average daycare provider get paid in New England ?
742,what,ind What author landed a 468-pound marlin without harness in the early 193 's ?
743,how,count How many Americans fought for the British in the American Revolution ?
744,what,other What kind of education do I need to become a flight attendant ?
745,what,lang What are the two languages of Malta ?
746,how,count How many oceans are there and name them ?
747,what,desc What happened during the Blackhawk Indian war of 1832 ?
748,how,count How many pairs of legs does a lobster have ?
749,what,def What does the Latin ante mortem mean ?
750,what,def What does the name Shawn mean ?
751,what,other Where is the Danube ?
752,who,"ind What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?"
753,what,animal What do you call a group of geese ?
754,who,"ind Who delivered his last newscast on March 6 , 1981 ?"
755,how,"count How many times has `` Louie , Louie '' been recorded ?"
756,what,manner How is Answers.com different from KnowPost.com ?
757,what,other What is the longest place name in the U.S. ?
758,what,perc What percent liked Thatcher after she had been in power for a decade ?
759,who,"other Where does Buzz Aldrin want to build a permanent , manned space station ?"
760,what,cremat What was Mel Gibson 's first movie ?
761,what,reason Why was the L.A. office of Shea and Gould closed ?
762,how,manner How do I start a bank ?
763,how,manner How do Ouija Boards work ?
764,what,animal What horse did Zorro ride ?
765,what,manner How do you get a broken cork out of a bottle ?
766,what,other Where can I find correct tabs for Third Eye Blind songs ?
767,how,manner How do you determine heating requirements for your home ?
768,what,ind What former major-league left-handed baseball pitcher was known as `` Space Man '' ?
769,what,"product Which hair care product told us `` hate that gray , wash it away '' ?"
770,what,reason Why did the chicken cross the road ?
771,what,ind What was Michelangelo 's last name ?
772,who,desc Who is Barbara Jordan ?
773,who,ind Who was the Democratic nominee in the American presidential election ?
774,what,cremat What was Connecticut 's first constitution called ?
775,what,event What historical event happened in Dogtown in 1899 ?
776,what,def What is being done about the millennium bug ?
777,who,reason What was the claim to fame of King Camp Gillette ?
778,what,dismed What is the most common kind of skin cancer in the U.S. ?
779,what,def What is Olestra ?
780,what,country What Asian country has a bill of rights for cows ?
781,how,count How many fingers are used to draw a bow ?
782,what,plant What are two plants that clothes are made from ?
783,what,date When was Hurricane Hugo ?
784,what,food What is the most heavily caffeinated soft drink ?
785,what,ind What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?
786,what,money What was the price of Varian Associates ' vacuum products division ?
787,what,date When was `` the Great Depression '' ?
788,what,lang What language is mostly spoken in Brazil ?
789,what,gr What college produced the most winning Super Bowl quarterbacks ?
790,what,manner How do you solve `` Rubik 's Cube '' ?
791,what,def What is prepared mustard ?
792,what,ind What classical Spanish writer warned 
793,what,def What does `` antidisestablishmentarianism '' mean ?
794,what,ind What actor married John F. Kennedy 's sister ?
795,what,dismed What does a topophobic actor suffer from ?
796,who,ind Who fired Maria Ybarra from her position in San Diego council ?
797,what,"period The italian artist , Maurizio Pellegrin , is how old ?"
798,what,other What type of hunting are retrievers used for ?
799,what,reason What is Colin Powell best known for ?
800,who,ind Who was the first black golfer to tee off in the Masters ?
801,what,city What city is the setting for Puccini 's opera La Boheme ?
802,what,ind What U.S. President showed a fondness for munching on bee pollen bars ?
803,what,def What is measured in curies ?
804,what,ind Whose cover is that of an employee of Universal Import and Export ?
805,what,ind What former president 's daughter has written a book titled Murder in the White House ?
806,what,ind What fictional character is known as the `` melancholy Dane '' ?
807,what,product Italy is the largest producer of what ?
808,what,ind What longtime game show host dropped dead while jogging in Central Park in 1984 ?
809,what,"def What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''"
810,who,ind Who were the `` filthiest people alive ? ''
811,what,dismed What infectious disease is the world 's deadliest ?
812,what,def What is Spumante ?
813,what,date In what year did Ireland elect its first woman president ?
814,what,def What is an isthmus ?
815,what,animal What was the name of the orca that died of a fungal infection ?
816,what,other Where is Mozambique located ?
817,what,animal What is Mississippi 's state animal ?
818,what,desc What 's the origin of the word ` news ' ?
819,what,other What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?
820,how,count How many months does a normal human pregnancy last ?
821,how,manner How do fuel injectors work ?
822,what,manner How can your school march in the Macy 's Thanksgiving Parade ?
823,what,ind What is the real name of disc jockey `` Wolfman Jack '' ?
824,what,veh What Italian liner was hijacked in 1985 ?
825,what,city What city houses the U.S. headquarters of Procter and Gamble ?
826,what,product What soap was touted as being `` for people who like people '' ?
827,how,money How much was the minimum wage in 1991 ?
828,what,exp What does NAFTA stand for ?
829,who,ind Who invented silly putty ?
830,who,"gr What new middle school was built in Philadelphia , Pennsylvania last year ?"
831,who,ind Who patented the first phonograph ?
832,what,techmeth What are some tips for building a fire in a fireplace ?
833,what,food What do manatees eat ?
834,how,termeq How do you say 2 in Latin ?
835,what,cremat What were popular songs and types of songs in the 1920s ?
836,how,count How many Vietnamese were there in the Soviet Union ?
837,what,other What is November 's birthstone ?
838,what,def What is a Certified Nurse Midwife ?
839,how,"count On average , how many miles are there to the moon ?"
840,who,ind Who created private detective Philip Marlowe ?
841,what,"cremat What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?"
842,what,desc What is the origin of the expression `` tout de suite '' ?
843,what,word What is the longest English word ?
844,what,reason What is the purpose of a car bra ?
845,what,reason What is D.B. Cooper known for ?
846,what,desc Who is Colin Powell ?
847,what,animal What species is a colt ?
848,what,exp What is the full name of the PLO ?
849,what,country What is the smallest country in Africa ?
850,who,ind Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?
851,what,event What age followed the Bronze Age ?
852,what,title What is her profession ?
853,what,ind What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?
854,what,exp What does the word LASER mean ?
855,what,def What does the name `` Anthony '' mean ?
856,who,ind Who was Lauren Bacall 's first husband ?
857,what,def What is a rhomboideus minor ?
858,how,count How many hands does Bjorn Borg use when hitting his forehand ?
859,how,count How many people died on D-Day ?
860,who,ind What U.S. Congressman said 
861,who,ind Who created the character of Scrooge ?
862,what,other What is the student population at the University of Massachusetts in Amherst ?
863,what,other Where is Windsor Castle ?
864,when,date When did the Dow first reach ?
865,what,reason Why were people recruited for the Vietnam War ?
866,what,gr What party was Winston Churchill a member of ?
867,what,gr What American League baseball team 's worst finish between 1926 and 1964 was fourth ?
868,what,other Where can I find the names of all the 15 Pokemon ?
869,what,state What state does Martha Stewart live in ?
870,what,animal Which killer whale died at Sea World of a fungal infection ?
871,what,country What are the Benelux countries ?
872,where,other Where 's the Petrified Forest ?
873,what,lang What is a language spoken by the Sioux ?
874,what,other Where is Tornado Alley ?
875,who,ind Who was the author of `` John Brown 's Body '' ?
876,who,ind What American poet wrote 
877,what,state What state in the U.S. has the most blacks ?
878,what,reason Why are electric cars less efficient in the northeast than in California ?
879,what,title What was the occupation of Mandy Rice-Davies ?
880,what,city What is the city in which Maurizio Pellegrin lives called ?
881,who,ind Who painted the Sistine Chapel ?
882,who,ind Name the various costumed personas of Dr. Henry Pym .
883,what,animal What breed of dog was the `` Little Rascals '' dog ?
884,what,desc What are the living conditions in Cuba ?
885,what,color What color are school buses ?
886,what,other What is the oldest website on the Internet ?
887,what,"event What events happened January 26 , 1978 ?"
888,what,ind What explorers followed Columbus to the Americas ?
889,who,ind Who is actress Goldie Hawn 's current actor boyfriend ?
890,who,ind Who banned Peter Rose from baseball for betting on games ?
891,what,def What are the seven virtues ?
892,what,termeq What other name were the `` Little Rascals '' known as ?
893,who,date When was the San Francisco fire ?
894,what,dismed What is a fear of food ?
895,how,"count How many casinos are in Atlantic City , NJ ?"
896,what,date What year did the Vietnam War end ?
897,what,ind What are the names of Richard Nixon 's two daughters ?
898,what,word What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?
899,what,count What is the chromosome number of an elephant ?
900,what,gr What organization was founded by the Rev. Jerry Falwell ?
901,what,other What 's the longest river in the world ?
902,what,food Which soft drink does Madonna advertise for ?
903,what,gr What company is being bought by Yahoo and how much is the deal worth ?
904,when,date When was Berlin 's Brandenburg gate erected ?
905,how,count How many double-word-score spaces are there on a Scrabble Crossword Game board ?
906,what,date What year did Germany sign its nonaggression pact with the Soviet Union ?
907,what,mount What mountain range is traversed by the highest railroad in the world ?
908,what,reason Why were the American soldiers in WWI called `` Doughboys ''
909,who,ind Who was nicknamed The Little Corporal ?
910,how,count How many CDs has Garth Brooks sold ?
911,who,veh Name the vessel used by the Atari Force in the DC comics .
912,what,other Where are the leading medical groups specializing in lung diseases ?
913,what,"manner How can I find online spelling , and punctuation drills for my 6th grader ?"
914,what,other What 's the sacred river of India ?
915,what,country What is Stefan Edberg 's native country ?
916,what,body What is the only gland in humans that can regenerate itself ?
917,how,count How many Gutenberg Bibles are there ?
918,what,country Name the largest country in South America .
919,what,event What astronomical phenomenon takes place in Jan. 1999 ?
920,what,desc What information can you get me on Fairground Park in St. Louis
921,what,ind What was American folk hero John Chapman 's nickname ?
922,what,desc What is the difference between a median and a mean ?
923,what,cremat What was the top box office movie in April 1998 ?
924,what,reason What makes thunder ?
925,what,ind What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?
926,what,"other Which is the largest clock , diameter wise , in Europe ?"
927,what,plant What plant is rum made from ?
928,what,country What country are Godiva chocolates from ?
929,who,ind Name the poet of the poem which begins 
930,who,food Which condiment was once sold as a patent medicine ?
931,what,state What U.S. state records the least rainfall ?
932,what,reason Why did the world enter a global depression in 1929 ?
933,who,"def What was archy , and mehitabel ?"
934,what,city What Texas city got its name from the Spanish for `` yellow '' ?
935,what,substance What are the chemicals used in glowsticks ?
936,what,country What country did the Nile River originate in ?
937,what,color What color are tennis balls ?
938,what,ind What barroom judge called himself The Law West of the Pecos ?
939,what,desc What excuse did the NATO people give for hitting the Chinese embassy ?
940,who,ind Who was President of Costa Rica in 1994 ?
941,what,sport What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?
942,what,country What country has the best defensive position in the board game Diplomacy ?
943,what,country What two countries share the Khyber Pass ?
944,who,ind Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?
945,what,desc What is the origin of the surname of Braun ?
946,what,"sport What card game has variations called Canfield , Klondike and Spider ?"
947,what,def What is Australia Day ?
948,what,animal What mammal of North America is the world 's longest-lived for its size ?
949,what,def What was the Chivington Massacre ?
950,what,"ind What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?"
951,how,count How many home runs did Lou Gehrig have during his career ?
952,what,city In what city is the headquarters of Sinn Fein ?
953,what,other Where can I find information on George Bush ?
954,who,ind Who is the voice of Miss Piggy ?
955,what,termeq What is the dialogue circle in cartoons called ?
956,what,"def What does the word camaro mean , from the GM car the Camaro ?"
957,who,ind Who replaced Bert Parks as the host of The Miss America Pageant ?
958,how,count How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?
959,what,def What is the AIM-54C Phoenix ?
960,what,date When are sheep shorn ?
961,what,sport What sport is Chris Jogis a top player of ?
962,what,other What 's the second-largest island in the world ?
963,what,def What is the definition of low island ?
964,what,date What century does Captain Video live in ?
965,what,other What types of water pollution are there ?
966,how,count How many astronauts manned each Project Mercury flight ?
967,what,food What soft drink would provide me with the biggest intake of caffeine ?
968,what,other What 's the name of a golf course in Myrtle Beach ?
969,what,event What are some of the significant historical events of the 1990s ?
970,who,cremat Name the only extant trilogy of classical Greek plays .
971,what,other Where is Logan Airport ?
972,what,desc What is the difference between Neoclassical art and Romanticism art ?
973,who,ind Who was the first person inducted into the U.S. Swimming Hall of Fame ?
974,what,ind What golfer has been called Ohio Fats and Blobbo ?
975,who,ind Who murdered Leno and Rosemary LaBianca on August 1
976,what,money What is the average cost for four years of medical school ?
977,what,other What does God create in the first sentence of the Bible ?
978,who,ind Which of the following men was not married to Rita Hayworth ?
979,what,money What is the current ticket fare from from Cairo to Barbados ?
980,what,exp What does NN O `` mean when used as a prefix in Irish surnames ?
981,how,manner How do you find oxidation numbers ?
982,what,state What is the state nickname of Mississippi ?
983,who,"reason What is Black Hills , South Dakota most famous for ?"
984,what,cremat What 1966 boob tube bomb took astronauts back to prehistoric times ?
985,how,count How many students attend the University of Massachusetts ?
986,who,"ind Who said , `` I shall return . '' during World War Two ?"
987,what,event What holidays are celebrated in Ireland ?
988,who,"ind Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?"
989,what,def What are the Greek numerals ?
990,what,other What 's the name of the temple that is located near the capital city of Laos ?
991,what,dismed What is a fear of sleep ?
992,what,sport What auto race was Wilbur Reed the first to win three times ?
993,what,animal What are the most common breeding birds in the U.S. ?
994,what,"event What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?"
995,how,manner How do you look up criminal records on the Internet ?
996,who,"other Where is the actress , Marion Davies , buried ?"
997,what,desc What is an example of an actual case of using the Fourteenth Amendment ?
998,who,ind Who was the Charlie perfume woman ?
999,who,ind Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?
